"id","player_pc_id","club_pc_id","match_count","bat_average","avg_bat_position","overs_per_game","wickets_per_over"
212,1431919,1244,17,22.8235,3.1176,6.041176470588235,0.1557935735150925
213,925998,1244,19,38.7368,2.4737,0,0
214,925995,1244,19,15.6316,5.6316,1.263157894736842,0.125
215,22300,1244,9,15.6667,5.1111,8.711111111111112,0.3061224489795918
216,39391,1244,14,8.2143,8.6429,9.02142857142857,0.2058590657165479
217,3336092,1244,11,2.9091,8.0909,3.8454545454545452,0.18912529550827425
218,267477,1244,18,0.6111,10.3889,5.633333333333334,0.16765285996055226
219,3590286,3808,26,1.1923,10.1154,5.976923076923077,0.11583011583011582
220,10952,1683,12,12.4167,2.5000,0.4166666666666667,0
221,1670746,1683,15,11.0000,2.2667,0.26666666666666666,0
223,1797745,1683,8,9.3750,6.7500,0,0
224,801290,1683,12,18.0833,6.5000,7.583333333333333,0.14285714285714285
226,1131106,1683,11,2.0909,9.7273,5.699999999999999,0.04784688995215311
229,978317,1683,11,4.0909,9.0909,8.727272727272727,0.11458333333333333
230,3671137,1683,5,0.4000,8.4000,2.8,0.07142857142857142
231,1008743,4791,9,20.2222,1.3333,4.666666666666667,0.16666666666666666
232,1819201,4791,12,8.3333,4.5833,4.258333333333334,0.21526418786692758
234,134311,4791,13,23.5385,2.7692,0,0
235,3425585,4791,9,4.5556,4.2222,2.0999999999999996,0.3174603174603175
236,19442,4791,6,7.0000,6.0000,0,0
237,1388565,4791,9,1.6667,5.6667,0,0
238,1726070,4791,10,5.1000,7.1000,3.9,0.10256410256410256
239,2637145,4791,11,2.5455,9.4545,6.818181818181818,0.09333333333333334
240,106586,4791,5,1.4000,9.8000,0.4,0
241,134305,4791,12,1.5000,10.5000,6.5,0.1794871794871795
242,1530237,3808,32,10.7813,4.8438,0,0
243,47834,3808,11,16.6364,3.6364,0.6363636363636364,0.14285714285714285
244,1411078,3808,11,18.0000,3.1818,1.7272727272727273,0.15789473684210525
245,19446,1225,6,31.5000,3.3333,0.6666666666666666,0
246,117265,1225,15,19.2667,3.1333,0,0
247,3612365,1225,22,25.7727,3.9545,0.8681818181818183,0.31413612565445026
249,3701970,1225,9,27.4444,5.0000,0.3333333333333333,0
250,3286276,1225,14,17.3571,5.1429,0,0
251,3686136,1225,6,15.5000,6.5000,7.683333333333334,0.1735357917570499
252,1683446,1225,13,8.4615,6.9231,2.9615384615384617,0.12987012987012986
253,8426,1225,11,17.5455,7.5455,9.909090909090908,0.11009174311926606
254,4145581,1225,5,0.0000,8.2000,5.4,0.18518518518518517
255,2706757,1225,13,6.3846,7.6923,5.6923076923076925,0.12162162162162163
256,738622,3808,15,14.7333,6.2000,5.319999999999999,0.2005012531328321
257,570398,3138,9,20.2222,3.5556,0,0
258,570441,3138,26,31.7308,2.0000,0.43076923076923074,0
259,49,3138,38,31.1053,4.6053,0.6684210526315789,0.35433070866141736
260,3324559,3138,58,6.1034,7.7069,6.2827586206896555,0.15642151481888034
261,29507,3138,27,17.1852,5.2963,2.3851851851851853,0.17080745341614906
262,570405,3138,30,11.3333,6.3667,6.263333333333334,0.11708355508249069
263,3589160,3138,48,20.6458,5.5000,0.22916666666666666,0.09090909090909091
264,3810728,3138,20,3.7000,8.7000,6.21,0.14492753623188406
265,3810734,3138,14,12.7143,5.9286,6.5,0.23076923076923078
266,570406,3138,29,5.0690,8.6552,6.279310344827586,0.23613399231191654
267,2324017,3138,47,10.5532,5.4043,0,0
268,16397,3808,18,2.8889,8.9444,8.63888888888889,0.13504823151125403
269,3577799,6626,9,17.2222,2.0000,0,0
271,921462,6626,9,24.3333,3.4444,0,0
272,1852712,6626,12,3.5833,7.8333,2.6666666666666665,0.125
273,3815063,6626,6,12.6667,4.8333,3.0666666666666664,0.10869565217391305
274,1657838,6626,7,18.5714,6.1429,3.142857142857143,0.3181818181818182
276,1648584,6626,13,9.7692,7.7692,4.615384615384615,0.11666666666666667
277,1379031,6626,9,4.6667,9.8889,6.055555555555555,0.11009174311926606
278,119326,6626,10,9.5000,9.9000,8.709999999999999,0.09184845005740529
279,1483902,6626,10,3.2000,7.6000,6.2,0.16129032258064516
280,814145,3808,8,1.0000,8.6250,6.125,0.12244897959183673
281,3601781,1244,15,22.4000,2.8667,0.4666666666666667,0.14285714285714285
283,491201,1244,14,20.9286,4.0000,3.5285714285714285,0.24291497975708504
284,3601786,1244,9,43.1111,3.2222,2.111111111111111,0.3157894736842105
285,19070,1244,14,31.8571,4.2143,3.5714285714285716,0.14
286,3545090,1244,6,17.8333,3.5000,0,0
287,3601773,1244,11,22.5455,3.1818,2.3636363636363638,0.15384615384615385
288,1204461,1244,15,7.0000,6.8000,1.9,0.17543859649122806
289,139361,1244,9,16.7778,8.5556,7.777777777777778,0.12857142857142856
291,3853003,3808,21,8.5238,4.7143,0.19047619047619047,0
292,1892217,1294,10,24.8000,3.3000,1.1199999999999999,0.26785714285714285
293,3637772,1294,14,23.0000,2.9286,0.2857142857142857,0
294,3576966,1294,11,33.8182,3.8182,3.727272727272727,0.0975609756097561
297,3391116,1294,15,5.7333,6.6000,2.2066666666666666,0.21148036253776434
298,1661458,1294,7,8.0000,6.4286,0,0
299,3577023,1294,10,4.5000,8.4000,8.74,0.20594965675057206
300,3889947,1294,7,8.1429,8.7143,9.714285714285714,0.17647058823529413
302,3352648,1294,7,14.0000,5.8571,3.4285714285714284,0.20833333333333334
303,691567,4884,18,7.1111,1.4444,0.3333333333333333,0
304,484631,4884,15,15.0667,5.2000,0,0
305,36334,4884,27,15.5556,5.1111,0,0
306,1369758,4884,37,20.8649,4.0270,0.3783783783783784,0.21428571428571427
307,4169363,4884,35,20.8571,5.0857,0.4685714285714285,0.24390243902439027
308,20140,4884,9,0.7778,8.8889,8.722222222222221,0.1910828025477707
309,3593846,4884,38,13.2895,7.1842,4.207894736842104,0.18136335209505944
310,2634625,4884,13,5.4615,8.6154,5.946153846153846,0.19404915912031048
311,460520,4884,15,0.6000,10.6000,7.7666666666666675,0.1373390557939914
312,959494,4884,35,8.1429,8.0571,5.2542857142857144,0.16856987493202827
313,3866114,4884,40,13.3000,6.4500,5.4925,0.19116977696859355
314,6471,10478,15,17.4000,5.1333,0.09333333333333332,0.7142857142857143
315,198457,10478,13,17.6923,1.3077,0,0
316,198417,10478,11,20.1818,4.5455,6.181818181818182,0.22058823529411764
317,1306177,10478,15,7.8000,3.7333,0.21333333333333335,0
318,204899,10478,6,2.8333,7.5000,6.516666666666667,0.23017902813299232
319,198395,10478,14,11.9286,5.2143,4,0.125
320,4116580,10478,8,0.7500,9.1250,7.875,0.1111111111111111
321,198420,10478,15,1.0667,10.8000,8.653333333333334,0.20030816640986132
322,3875820,10478,8,2.2500,9.3750,7.925,0.2996845425867508
324,3377550,10478,12,2.2500,9.2500,6.833333333333333,0.25609756097560976
325,47836,3808,21,12.8571,1.7619,0,0
326,4131838,3808,6,4.5000,4.0000,1.5,0.2222222222222222
327,3871882,3808,18,14.5556,5.8889,5.888888888888889,0.12264150943396226
328,1078459,4713,27,16.4815,2.4815,2.4074074074074074,0.2
329,367988,4713,23,41.8696,1.8696,1.9130434782608696,0.09090909090909091
330,1452726,4713,28,16.6071,3.4643,0.0035714285714285718,0
331,1009629,4713,17,12.6471,4.2941,0.28235294117647064,0
332,3304640,4713,10,15.3000,5.9000,0,0
333,42554,4713,17,6.0588,5.4118,0.35294117647058826,0.16666666666666666
334,741,4713,27,5.5556,8.0370,6.848148148148147,0.20010816657652788
335,48688,4713,28,8.5714,8.4286,8.907142857142857,0.22453889334402566
336,3334467,4713,25,1.0400,9.2800,5.255999999999999,0.15220700152207003
337,443620,4713,30,4.0333,8.7333,5.510000000000001,0.24803387779794311
338,1265999,4713,23,3.0000,9.7826,6.391304347826087,0.17006802721088435
339,1698632,6054,10,26.0000,1.8000,0.2,0
340,3615661,6054,10,38.6000,2.8000,1.5,0.13333333333333333
341,916648,6054,7,17.0000,3.4286,1.4285714285714286,0.3
342,916662,6054,9,51.1111,4.4444,9.222222222222221,0.13253012048192772
344,916698,6054,9,7.4444,7.1111,6.144444444444444,0.108499095840868
345,916647,6054,12,5.4167,7.0000,9.75,0.1282051282051282
346,3579478,6054,10,1.6000,7.4000,0.41,0
347,901928,6054,11,12.2727,7.6364,9.818181818181818,0.14814814814814814
348,914894,6054,9,0.3333,9.1111,5.666666666666667,0.11764705882352941
349,914887,6054,6,1.5000,9.6667,6,0.16666666666666666
350,4130133,3808,18,3.5556,8.4444,3.9111111111111114,0.1278409090909091
351,4133782,3808,12,7.5000,9.4167,5.341666666666666,0.24960998439937598
352,1422517,1683,5,11.6000,6.0000,8.66,0.2771362586605081
353,3630626,1683,12,8.5833,3.3333,5.366666666666667,0.24844720496894407
354,1354896,1683,7,34.7143,3.0000,0,0
356,1207638,1683,11,21.6364,4.7273,9.454545454545455,0.20192307692307693
357,586379,1683,7,15.1429,7.1429,1.5,0.38095238095238093
358,745087,1683,5,4.2000,5.8000,5.82,0.274914089347079
359,1236826,1683,5,4.4000,9.8000,6.6,0.12121212121212122
360,4084413,1683,5,0.8000,9.4000,5.8,0.1724137931034483
361,4180527,3808,37,12.2162,3.7027,1.2972972972972974,0.125
362,4161575,3808,5,14.6000,7.4000,8.6,0.3023255813953488
363,4185880,3808,8,1.2500,9.7500,8.2875,0.19607843137254902
364,3638942,2720,41,22.6341,3.0976,0.7073170731707317,0.27586206896551724
365,423944,2720,13,6.8462,1.9231,0.3076923076923077,0.25
366,571701,2720,25,25.7200,3.9600,0.92,0.08695652173913043
367,1521642,2720,27,20.5926,3.8889,0.037037037037037035,0
368,571753,2720,47,17.5745,6.2766,6.044680851063831,0.11263639563533966
369,39540,2720,32,23.2813,4.5000,1.825,0.136986301369863
370,3165839,2720,41,12.0488,3.8780,0.04878048780487805,0
371,37047,2720,35,7.4000,7.4857,5.994285714285715,0.17159199237368922
372,2632748,2720,8,11.8750,5.5000,8,0.296875
373,1301053,2720,21,4.2857,8.8095,5.571428571428571,0.1452991452991453
374,1445299,2720,30,0.9333,10.5667,7.563333333333333,0.13221683561040107
375,94548,4525,19,33.1579,1.9474,0,0
376,48413,4525,12,16.6667,3.2500,0,0
377,1756944,4525,19,13.4211,4.3158,4.947368421052632,0.1702127659574468
378,94397,4525,15,29.0000,4.7333,0.9333333333333333,0.14285714285714285
379,3313319,4525,22,8.0909,6.8182,0,0
380,48415,4525,18,17.5556,4.5000,1.7444444444444445,0.1910828025477707
381,94538,4525,17,3.0000,7.4706,0,0
382,1789418,4525,13,22.0769,7.4615,0.3076923076923077,0
383,1680245,4525,16,2.0625,9.8750,8.83125,0.1627742392073602
384,18502,4525,17,2.3529,8.5882,7.529411764705882,0.1796875
385,925292,155,28,19.7500,4.1786,1.9821428571428572,0.3063063063063063
386,116372,155,38,24.6053,2.7895,1.1368421052631579,0.18518518518518517
387,1894040,155,65,25.6923,1.8615,0.49846153846153846,0.308641975308642
388,4119066,155,30,12.5000,4.5333,0.8666666666666667,0.2692307692307692
389,8018,155,24,15.2083,3.7500,0.4166666666666667,0.1
390,106575,155,36,12.6111,5.6944,0,0
391,826516,155,45,7.8667,7.6000,5.555555555555555,0.232
392,715506,155,54,4.9074,8.6296,8.011111111111111,0.1849283402681461
393,85635,155,13,3.7692,10.0769,7.230769230769231,0.18085106382978725
394,1874217,155,9,6.4444,8.7778,6.777777777777778,0.19672131147540983
395,3582352,155,27,4.3704,9.4444,6.800000000000001,0.21241830065359474
396,3641562,1093,8,19.2500,3.2500,8,0.1875
397,3866488,1093,9,22.1111,4.4444,0,0
398,775,1093,13,18.3846,6.8462,1.3846153846153846,0
399,395154,1093,18,5.5556,10.0000,7.222222222222222,0.13846153846153847
400,3846822,1093,5,1.6000,9.4000,3.02,0.13245033112582782
401,730336,1093,7,25.0000,4.4286,3.2857142857142856,0.17391304347826086
402,1009687,1093,15,17.8667,3.7333,1.2666666666666666,0.15789473684210525
403,332550,1093,18,15.4444,3.7222,1.5,0.14814814814814814
404,3846824,1093,7,3.8571,6.8571,7.571428571428571,0.20754716981132076
407,3404267,3808,11,7.0909,5.9091,2.4,0.07575757575757576
408,1374448,828,10,30.2000,1.5000,0.1,0
409,3376983,828,9,27.7778,3.4444,0,0
410,866573,828,5,33.6000,5.4000,2.8,0.2857142857142857
412,1906579,828,9,10.8889,3.1111,2.888888888888889,0.2692307692307692
413,1688949,828,6,13.0000,5.8333,0.9166666666666666,0.7272727272727273
415,966605,828,7,7.5714,5.8571,3.857142857142857,0.07407407407407407
416,1691134,828,5,7.0000,9.2000,5.2,0.34615384615384615
418,3401025,828,14,2.2857,9.9286,6.507142857142857,0.21953896816684962
420,3599198,3808,17,8.0588,4.4706,4.117647058823529,0.2
421,3853004,3808,5,2.8000,8.2000,5.68,0.35211267605633806
422,1744415,3808,6,4.5000,7.0000,0,0
423,47835,3808,26,10.1923,7.9615,4.292307692307693,0.2329749103942652
424,3775742,3808,15,2.2667,10.3333,4.866666666666666,0.1232876712328767
425,41656,2788,10,14.5000,2.9000,0,0
426,3651625,2788,13,0.7692,10.2308,0,0
427,13571,2788,5,18.8000,4.8000,0.4,0.5
428,3637680,2788,11,27.9091,6.9091,6.181818181818182,0.23529411764705882
429,3588864,2788,11,24.5455,4.7273,5.554545454545455,0.18003273322422259
430,922287,2788,12,15.5000,4.7500,3.5,0.14285714285714285
431,3222476,2788,12,14.1667,2.5000,1.625,0.3076923076923077
432,3798936,2788,10,1.7000,9.8000,1.56,0.19230769230769232
433,13579,2788,11,9.3636,5.1818,5.654545454545455,0.19292604501607716
434,1229222,2788,9,4.7778,4.2222,2.1444444444444444,0.15544041450777202
435,13578,2788,8,5.2500,6.0000,0,0
437,1748748,3808,10,2.6000,8.8000,4.9399999999999995,0.18218623481781376
439,3547600,6749,51,14.1373,3.2157,2.007843137254902,0.234375
440,574591,6749,36,10.1389,7.4722,4.408333333333333,0.11972274732199119
441,930717,6749,56,16.9107,4.2857,5.676785714285714,0.26737967914438504
442,1039398,6749,19,24.8947,3.8421,0,0
443,980691,6749,18,14.0000,4.2778,9.572222222222223,0.16831108531630876
444,1931217,6749,43,14.7907,5.1395,0,0
445,1164671,6749,23,7.7391,6.9130,3.3304347826086955,0.10443864229765014
446,136420,6749,27,1.1852,10.1481,7.225925925925925,0.1998974884674526
447,3600803,6749,24,5.6250,8.1667,7.583333333333333,0.19230769230769232
448,499579,6749,6,2.1667,9.3333,1.1666666666666667,0
449,52222,6749,19,0.2632,9.9474,0,0
451,3325810,4149,16,22.0000,1.3750,2.96875,0.25263157894736843
452,3325931,4149,12,8.0000,6.2500,3.1666666666666665,0.10526315789473684
453,3804298,4149,13,10.1538,4.7692,6.461538461538462,0.32142857142857145
