pc_id,position_name,value,club_id
0,Bowler,2.0,5995
3850773,Bowler,1.5,5995
4159565,Bowler,1.0,5995
3605796,Bowler,1.0,5995
1916092,Bowler,1.0,5995
3605800,Bowler,1.0,5995
11808,Batter,10.0,2043
50619,Batter,6.0,2043
11807,Batter,6.0,2043
3423622,Batter,5.5,2043
824775,Batter,5.5,2043
186006,Batter,5.0,2043
294259,Batter,4.0,2043
635423,Batter,4.0,2043
755405,Batter,4.0,2043
915728,Batter,3.5,2043
1205746,Batter,3.5,2043
795277,Batter,3.0,2043
1563560,Batter,1.5,2043
3615070,Batter,1.0,2043
3279743,Batter,1.0,2043
3424214,Batter,1.0,2043
903133,Batter,1.0,2043
3289456,Batter,1.0,2043
661958,Batter,1.0,2043
1255817,Batter,1.0,2043
1294735,Batter,1.0,2043
1401687,Batter,1.0,2043
917449,Batter,1.0,2043
1871218,Batter,1.0,2043
911781,Batter,1.0,2043
1401678,Batter,1.0,2043
1685558,Batter,1.0,2043
11806,Batter,1.0,2043
116232,All Rounder,8.5,2043
398679,All Rounder,5.5,2043
612482,All Rounder,5.0,2043
482074,All Rounder,5.0,2043
947641,All Rounder,4.5,2043
1218190,All Rounder,4.0,2043
11805,All Rounder,4.0,2043
915723,All Rounder,3.0,2043
2295,All Rounder,2.0,2043
718981,All Rounder,1.0,2043
4172560,All Rounder,1.0,2043
196213,All Rounder,1.0,2043
3424312,All Rounder,1.0,2043
4173053,All Rounder,1.0,2043
1554174,All Rounder,1.0,2043
939076,Keeper,8.0,2043
1116927,Keeper,5.5,2043
1848950,Keeper,5.0,2043
10601,Keeper,5.0,2043
4172562,Keeper,1.0,2043
3424212,Keeper,1.0,2043
1045330,Bowler,7.5,2043
736716,Bowler,7.5,2043
3546593,Bowler,6.0,2043
1255815,Bowler,6.0,2043
927574,Bowler,5.0,2043
15020,Bowler,5.0,2043
1883275,Bowler,5.0,2043
375354,Bowler,5.0,2043
915719,Bowler,4.5,2043
3490290,Bowler,4.0,2043
1607556,Bowler,4.0,2043
3381690,Bowler,4.0,2043
1387628,Bowler,4.0,2043
1611526,Bowler,4.0,2043
3424222,Bowler,2.0,2043
1796746,Bowler,1.5,2043
4176312,Bowler,1.5,2043
1355154,Bowler,1.5,2043
116395,Bowler,1.5,2043
291662,Bowler,1.5,2043
3424206,Bowler,1.5,2043
3451813,Bowler,1.5,2043
4173222,Bowler,1.0,2043
1699693,Bowler,1.0,2043
3884170,Bowler,1.0,2043
1903172,Bowler,1.0,2043
1328133,Bowler,1.0,2043
4205248,Bowler,1.0,2043
3727113,Bowler,1.0,2043
1667270,Bowler,1.0,2043
3557158,Bowler,1.0,2043
1127599,Bowler,1.0,2043
1006921,Bowler,1.0,2043
3424220,Bowler,1.0,2043
602220,Bowler,1.0,2043
3828951,Bowler,1.0,2043
3637887,Bowler,1.0,2043
914770,Batter,9.0,5756
808564,Batter,5.5,5756
1096275,Batter,5.5,5756
2214203,Batter,5.5,5756
36009,Batter,5.0,5756
746998,Batter,5.0,5756
16403,Batter,4.5,5756
78335,Batter,3.0,5756
775189,Batter,2.5,5756
50246,Batter,2.0,5756
1068037,Batter,1.5,5756
795790,Batter,1.0,5756
3351803,Batter,0.5,5756
16399,Batter,0.5,5756
1853894,Batter,0.5,5756
1698608,Batter,0.5,5756
344165,All Rounder,11.0,5756
914830,All Rounder,11.0,5756
914799,All Rounder,10.5,5756
3668395,All Rounder,8.0,5756
825848,All Rounder,7.0,5756
3354413,All Rounder,6.0,5756
775195,All Rounder,5.5,5756
1557322,All Rounder,3.5,5756
3365545,All Rounder,1.5,5756
3987262,All Rounder,0.5,5756
3593558,All Rounder,0.5,5756
914784,Keeper,9.5,5756
789023,Keeper,4.5,5756
1698607,Keeper,4.0,5756
914772,Keeper,0.5,5756
22710,Bowler,9.5,5756
344171,Bowler,9.0,5756
46567,Bowler,8.0,5756
808556,Bowler,7.5,5756
3606167,Bowler,7.0,5756
2572228,Bowler,7.0,5756
3810632,Bowler,6.5,5756
22407,Bowler,6.5,5756
3882510,Bowler,6.0,5756
4041249,Bowler,4.5,5756
825850,Bowler,3.0,5756
4092483,Bowler,2.5,5756
3362185,Bowler,2.0,5756
795792,Bowler,1.5,5756
3352193,Bowler,1.0,5756
3440268,Bowler,1.0,5756
3619253,Bowler,1.0,5756
708384,Bowler,0.5,5756
423295,Batter,12.0,701
1548713,Batter,10.0,701
46566,Batter,7.0,701
1310579,Batter,7.0,701
1030094,Batter,7.0,701
919272,Batter,6.0,701
1540722,Batter,5.0,701
1258475,Batter,5.0,701
834684,Batter,5.0,701
8478,Batter,5.0,701
4226814,Batter,4.0,701
1124999,Batter,4.0,701
3645379,Batter,4.0,701
42554,Batter,4.0,701
826869,Batter,4.0,701
1493394,Batter,4.0,701
1076602,Batter,4.0,701
4197447,Batter,4.0,701
4003299,Batter,3.0,701
1810377,Batter,3.0,701
4227935,Batter,3.0,701
3266709,Batter,3.0,701
4118328,Batter,3.0,701
418512,Batter,3.0,701
41413,Batter,3.0,701
3945601,Batter,3.0,701
3615846,Batter,3.0,701
4340488,Batter,3.0,701
4226183,Batter,3.0,701
3661247,Batter,3.0,701
8480,Batter,3.0,701
1107278,Batter,3.0,701
4202933,Batter,3.0,701
